"a problem from hell", samantha power
le mystère henri pick, david foenkinos
le nao de brown, glyn dillon
le plus petit baiser jamais recensé, mathias malzieu
le rouge et le noir, stendhal
le sculpteur, scott mccloud
le tour d'écrou, henry james
le tour du monde en 80 jours, jules verne
le trône de fer, george r.r. martin
le vieux qui ne voulait pas fêter son anniversaire, jonas jonasson
lead, kylie scott
leader of the pack, david rosenfelt
leaders eat last, simon sinek
leadership 101, john c. maxwell
leadership 2.0, travis bradberry
leadership on the line, ronald a. heifetz
leadership, doris kearns goodwin
leading with cultural intelligence, david livermore
leaf by niggle, j.r.r. tolkien
league of dragons, naomi novik
lean in, sheryl sandberg
lean mean thirteen, janet evanovich
lean on me, cherise sinclair
leap day, wendy mass
leap of faith, danielle steel
learn me good, john pearson
learned optimism, martin e.p. seligman
learning to bow, bruce feiler
learning to swear in america, katie kennedy
learning to walk in the dark, barbara brown taylor
leave it to psmith, p.g. wodehouse
leave me breathless, cherrie lynn
leave myself behind, bart yates
leave the grave green, deborah crombie
leave the window open, victoria schwab
leaves of grass, walt whitman
leaves on the wind, joss whedon
leaving annalise, pamela fagan hutchins
leaving atlanta, tayari jones
leaving blythe river, catherine ryan hyde
leaving cheyenne, larry mcmurtry
leaving church, barbara brown taylor
leaving everything most loved, jacqueline winspear
leaving home, garrison keillor
leaving paradise, simone elkeles
leaving the atocha station, ben lerner
leaving time, jodi picoult
leaving, karen kingsbury
led astray, sandra brown
left drowning, jessica park
left for dead, pete nelson
left neglected, lisa genova
left to die, lisa jackson
left to tell, immaculee ilibagiza
left-wing communism, an infantile disorder, vladimir lenin
legacies, f. paul wilson
legacy of ashes, tim weiner
legacy of lies, elizabeth chandler
legacy of the dead, charles todd
legacy, c.j. daugherty
legacy, danielle steel
legacy, james kerr
legacy, lois mcmaster bujold
legacy, shannon messenger
legacy, susan kay
legado en los huesos, dolores redondo
legal briefs, n.m. silber
legal tender, lisa scottoline
legend of the lost legend, r.l. stine
legend, david gemmell
legend, katy evans
legendborn, tracy deonn
legends & lattes, travis baldree
legends of the dark knight, norm breyfogle
legends of the fall, jim harrison
legends of zita the spacegirl, ben hatke
legends, robert silverberg
legion and the emperor's soul, brandon sanderson
legion of despair, franklin horton
legion of the damned, william c. dietz
legion, brandon sanderson
legion, dan abnett
legion, julie kagawa
legionnaire, jason anspach
leisure, josef pieper
lemmy, mick wall
lemon meringue pie murder, joanne fluke
lemon pies and little white lies, ellery adams
lemonade mouth, mark peter hughes
lemony snicket, lemony snicket
lena's happily ever after, dixie lynn dwyer
lengths, steph campbell
leningrad, anna reid
lennon, david foenkinos
lenobia's vow, p.c. cast
leo loves aries, anyta sunday
leo the late bloomer, robert kraus
leo's chance, mia sheridan
leo, mia sheridan
leonard, william shatner
leonardo and the last supper, ross king
leonardo da vinci, walter isaacson
leopard at the door, jennifer mcveigh
leprechauns don't play basketball, debbie dadey
les belles-soeurs, michel tremblay
les disparus du clairdelune, christelle dabos
les fiancés de l'hiver, christelle dabos
les fleurs du mal, charles baudelaire
les justes, albert camus
les miserables, victor hugo
les particules élémentaires, michel houellebecq
leslie f*cking jones, leslie jones
less of a stranger, nora roberts
less than angels, barbara pym
less than zero, bret easton ellis
lessico famigliare, natalia ginzburg
lessons from a dead girl, jo knowles
lessons in chemistry, bonnie garmus
let him go, larry watson
let it bleed, ian rankin
let it snow, john green
let me be a woman, elisabeth elliot
let me call you sweetheart, mary higgins clark
let me go, helga schneider
let my people go surfing, yvon chouinard
let sleeping rogues lie, sabrina jeffries
let the dead sleep, heather graham
let the great world spin, colum mccann
let the right one in, john ajvide lindqvist
let the willows weep, sherry parnell
let there be water, seth m. siegel
let us descend, jesmyn ward
let your life speak, parker j. palmer
let's all be brave, annie f. downs
let's be just friends, camilla isley
let's explore diabetes with owls, david sedaris
let's get digital, david gaughran
let's pretend this never happened, jenny lawson
let's pretend this never happened, jim benton
let's roll!, lisa beamer
let's talk about love, claire kann
lethal bayou beauty, jana deleon
lethal rider, larissa ione
lethal vintage, nadia gordon
lethal, sandra brown
lethally blond, kate white
letter from birmingham jail, martin luther king jr.
letter perfect, cathy marie hake
letter to his father, franz kafka
letters from father christmas, j.r.r. tolkien
letters from home, kristina mcmorris
letters from skye, jessica brockmole
letters from the earth, mark twain
letters to a young conservative, dinesh d'souza
letters to a young scientist, edward o. wilson
letters to elise, amanda hocking
letters to the lost, brigid kemmerer
letters to the lost, iona grey
letters to wendy's, joe wenderoth
letting in light, emma davies
letztendlich sind wir dem universum egal, david levithan
lev, belle aurora
level up, cathy yardley
levels of life, julian barnes
leverage in death, j.d. robb
leviathan falls, james s.a. corey
leviathan, jack campbell
leviathan, thomas hobbes
levitate, kaylee ryan
lex luthor, brian azzarello
lexi, baby, lynda leeanne
lexicon, max barry
liam's list, haleigh lovell
liam's story, alexandra bracken
liar & spy, rebecca stead
liar game, volume 1, shinobu kaitani
liar liar, m.j. arlidge
liar's bench, kim michele richardson
liar's moon, elizabeth c. bunce
liar's poker, michael lewis
libera tu magia, elizabeth gilbert
liberating lacey, anne calhoun
liberty falling, nevada barr
liberty's last stand, stephen coonts
liberty, garrison keillor
liberty, virginia woolf
libra, don delillo
library mouse, daniel kirk
library of souls, ransom riggs
library of the dead, glenn cooper
library wars, kiiro yumi
libriomancer, jim c. hines
libérame, tahereh mafi
license to date, susan hatler
licensed to thrill, diane capri
lick, kylie scott
licked, brooke blaine
lie down with lions, ken follett
lie still, julia heaberlin
lie to me, j.t. ellison
lie with me, sabine durrant
lies & the lying liars who tell them, al franken
lies and weddings, kevin kwan
lies beneath, anne greenwood brown
lies jane austen told me, julie wright
lies my teacher told me, james w. loewen
lies ripped open, steve mchugh
lies she told, cate holahan
lies that chelsea handler told me, chelsea handler
lies we tell ourselves, robin talley
lies women believe, nancy leigh demoss
lies, damned lies, and history, jodi taylor
lies, michael grant
lies, t.m. logan
liesl & po, lauren oliver
life 3.0, max tegmark
life after death, damien echols
life after god, douglas coupland
life after life, kate atkinson
life after life, raymond a. moody jr.
life after wife, carolyn brown
life and death, stephenie meyer
life as we knew it, susan beth pfeffer
life before man, margaret atwood
life by committee, corey ann haydu
life doesn't frighten me, maya angelou
life expectancy, dean koontz
life from scratch, melissa ford
life from scratch, sasha martin
life in a jar, jack mayer
life in a medieval city, frances gies
life in a medieval village, frances gies
life in outer space, melissa keil
life is a verb, patti digh
life is elsewhere, milan kundera
life is short and so is this book, peter atkins
life management for busy women, elizabeth george
life of the party, olivia gatwood
life on mars, tracy k. smith
life on the edge, jennifer comeaux
life on the mississippi, mark twain
life on the refrigerator door, alice kuipers
life or death, michael robotham
life sentences, laura lippman
life together, dietrich bonhoeffer
life will be the death of me, chelsea handler
life, death and vanilla slices, jenny eclair
life, keith richards
life, mal peet
life, on the line, grant achatz
lifeguard, james patterson
lifeless, mark billingham
lifelong writing habit, chris fox
lifemarked, david estes
lift and separate, marilyn simon rothstein
light before day, christopher rice
light bringer, pierce brown
light from heaven, jan karon
light from uncommon stars, ryka aoki
light in august, william faulkner
light in the shadows, a. meredith walters
light of the jedi, charles soule
light of the world, james lee burke
light on lucrezia, jean plaidy
light on snow, anita shreve
light on yoga, b.k.s. iyengar
light, michael grant
lightborn, tricia sullivan
lighter than my shadow, katie green
lightning, danielle steel
like a memory, abbi glines
like a river glorious, rae carson
like a watered garden, patti hill
like gravity, julie johnson
like mother, like daughter, catherine clark
like no other lover, julie anne long
like no other, una lamarche
like the red panda, andrea seigel
like vanessa, tami charles
like water for chocolate, laura esquivel
likely to die, linda fairstein
lila, marilynne robinson
lila, robert m. pirsig
lilac girls, martha hall kelly
lilith's brood, octavia e. butler
lilith, j.r. salamanca
lilli de jong, janet benton
lillian boxfish takes a walk, kathleen rooney
lilly's purple plastic purse, kevin henkes
lily alone, jacqueline wilson
lily and the octopus, steven rowley
lily's mistake, pamela ann
lily's white lace, carolyn brown
limbo, a. manette ansay
lime gelatin and other monsters, angel martinez
limelight, emily organ
lincoln in the bardo, george saunders
lincoln the unknown, dale carnegie
lincoln, david herbert donald
lincoln, russell freedman
line of vision, david ellis
line war, neal asher
lines of departure, marko kloos
ling & ting, grace lin
linger, maggie stiefvater
lingus, mariana zapata
linus & the angel, r.e. butler
lion in the valley, elizabeth peters
lion of babylon, davis bunn
lion of the sun, harry sidebottom
lion's heat, lora leigh
lion, saroo brierley
lioness rampant, tamora pierce
lionheart and lackland, frank mclynn
lionheart, martha rofheart
lionheart, sharon kay penman
lions and lace, meagan mckinney
lips touch, laini taylor
lipstick apology, jennifer jabaley
lipstick jungle, candace bushnell
liquid intelligence, dave arnold
lirael, garth nix
lisette's list, susan vreeland
lisey's story, stephen king
listen for the lie, amy tintera
listen to me, hannah pittard
listen to me, kristen proby
listen to your heart, kasie west
listening to dust, brandon shire
listening woman, tony hillerman
lit!, tony reinke
lit, mary karr
little & lion, brandy colbert
little altars everywhere & divine secrets of the ya-ya sisterhood, rebecca wells
little beach street bakery, jenny colgan
little bear's friend, else holmelund minarik
little bear's visit, else holmelund minarik
little bear, else holmelund minarik
little bee, chris cleave
little big man, thomas berger
little bird of heaven, joyce carol oates
little bitty lies, mary kay andrews
little black dress, susan mcbride
little blue truck, alice schertle
little bones, sam blake
little boy blue, kim kavin
little boy blue, m.j. arlidge
little broken things, nicole baart
little brother, cory doctorow
little children, tom perrotta
little do we know, tamara ireland stone
little dorrit, charles dickens
little earthquakes, jennifer weiner
little elvises, timothy hallinan
little fires everywhere, celeste ng
little friends, onur tukel
little fuzzy, h. beam piper
little house by boston bay, melissa wiley
little house in brookfield, maria d. wilkes
little house in the big woods, laura ingalls wilder
little house on rocky ridge, roger lea macbride
little house on the prairie, laura ingalls wilder
little knife, leigh bardugo
little known facts, christine sneed
little labors, rivka galchen
little lies, liane moriarty
little lord fauntleroy, frances hodgson burnett
little mercies, heather gudenkauf
little moments of love, catana chetwynd
little monsters, kara thomas
little night, luanne rice
little pea, amy krouse rosenthal
little pilgrim's progress, helen l. taylor
little princes, conor grennan
little red gliding hood, tara lazar
little red riding hood, charles perrault
little red riding hood, lisa campbell ernst
little red riding hood, trina schart hyman
little things, jeffrey brown
little town on the prairie, laura ingalls wilder
little white lies, gemma townley
little women and me, lauren baratz-logsted
little women, deanna mcfadden
little women, louisa may alcott
little women, lucia monfried
live and let die, ian fleming
